project_id,project_code,project_name,client_name,project_status,start_date,end_date,updated_at
3188,PRJ-003188,Visualize Proactive Synergies Program,"Buchanan, Cooper and Drake",Completed,2024-11-16,,2025-02-05 05:03:00
142,PRJ-000142,Transform Strategic Schemas Program,"Harrison, Brewer and Davis",Completed,2018-06-25,2019-12-10,2018-09-04 04:38:00
2545,PRJ-002545,Revolutionize Extensible Functionalities Program,"Campbell, Pearson and Wagner",Completed,2019-02-24,,2019-05-22 10:43:00
4028,PRJ-004028,Strategize 24/7 Infrastructures Program,Jackson-Delgado,Cancelled,2023-06-25,2023-12-16,2023-08-31 18:51:00
3529,PRJ-003529,Morph Compelling E-Markets Program,Cooper and Sons,Completed,2022-02-02,2023-11-08,2022-05-01 11:16:00
941,PRJ-000941,Facilitate Real-Time Action-Items Program,"Adams, Flynn and Gordon",Planned,2026-09-06,2028-10-03,2026-10-13 23:10:00
1819,PRJ-001819,Re-Contextualize Viral Partnerships Program,"Sparks, Lopez and Johnson",Planned,2019-05-19,2020-05-14,2019-06-30 19:44:00
1207,PRJ-001207,Iterate Customized Networks Program,Peterson Group,Completed,2021-10-21,2023-03-20,2022-01-01 13:02:00
186,PRJ-000186,Exploit Sticky Communities Program,"Patrick, Aguilar and Gomez",Planned,2019-10-18,2021-08-16,2019-11-02 03:38:00
1756,PRJ-001756,Leverage Open-Source Interfaces Program,"Miles, Harrison and Berry",Completed,2024-05-03,,2024-08-18 02:43:00
1761,PRJ-001761,Incubate Real-Time Markets Program,Garcia-Baker,Planned,2019-05-15,,2019-08-27 21:47:00
4664,PRJ-003311,Benchmark Leading-Edge Mindshare Program Refresh,"Anderson, Mercer and Leonard",Cancelled,2020-12-10,2023-05-18,2021-04-15 02:49:00
3167,PRJ-003167,Implement Granular Functionalities Program,Mora PLC,Active,2026-05-23,2027-03-25,2026-07-07 18:34:00
2043,PRJ-002043,Redefine Best-Of-Breed Infrastructures Program,"Hopkins, Abbott and Riley",Planned,2018-07-17,2019-09-01,2018-09-21 17:14:00
3511,PRJ-003511,Synergize Dot-Com Paradigms Program,Peterson-Jensen,Active,2024-03-09,2024-07-26,2024-04-06 10:15:00
227,PRJ-000227,Mesh Proactive Mindshare Program,Allen-Page,Cancelled,2021-08-06,2023-10-05,2021-11-24 11:39:00
4171,PRJ-004171,Morph Revolutionary Infrastructures Program,Fuller-Pierce,Planned,2021-07-01,2022-04-24,2021-08-28 17:05:00
1674,PRJ-001674,Scale One-To-One Convergence Program,Calhoun and Sons,Completed,2022-05-10,2023-03-10,2022-08-28 18:11:00
3540,PRJ-003540,Incubate World-Class Architectures Program,Wright-Harmon,Active,2021-08-15,2022-06-12,2021-08-17 14:13:00
1515,PRJ-001515,Transform Mission-Critical E-Commerce Program,"Perez, Johnson and Bradley",Cancelled,2019-01-19,2021-06-25,2019-05-05 05:14:00
945,PRJ-000945,Iterate Killer Content Program,Coleman-Hernandez,Completed,2024-09-03,2026-06-01,2024-11-14 21:48:00
4619,PRJ-000755,Grow Bricks-And-Clicks Communities Program Refresh,Singh-Wade,Completed,2020-07-17,2020-10-29,2020-10-26 23:54:00
3729,PRJ-003729,Engage Rich Solutions Program,"Mitchell, Price and Carlson",On Hold,2026-08-06,2028-06-14,2026-09-16 23:34:00
348,PRJ-000348,Streamline Transparent Web Services Program,Perez Group,On Hold,2026-02-14,,2026-06-14 02:39:00
4728,PRJ-000562,Embrace Robust Partnerships Program Refresh,Vaughn-Campbell,Planned,2026-09-16,2028-03-24,2026-11-10 13:09:00
4911,PRJ-000766,Reinvent Distributed E-Services Program Refresh,Page PLC,Completed,2018-12-25,,2019-03-14 16:48:00
4741,PRJ-002337,Embrace Magnetic Partnerships Program Refresh,"Hall, Compton and Welch",Cancelled,2021-10-21,,2022-09-06 17:40:00
2039,PRJ-002039,Implement Distributed Schemas Program,Bond-Warren,Active,2022-10-02,,2022-11-24 21:51:00
2227,PRJ-002227,Strategize Virtual Initiatives Program,Joseph-Barrett,Planned,2025-11-20,2027-02-04,2026-03-10 05:32:00
3535,PRJ-003535,Exploit Efficient Initiatives Program,Larsen-Vasquez,On Hold,2024-11-26,2026-10-12,2025-02-01 11:58:00
1455,PRJ-001455,Re-Intermediate Turn-Key Relationships Program,"Smith, Matthews and Harris",Planned,2021-08-18,2022-03-28,2021-10-26 22:47:00
755,PRJ-000755,Grow Bricks-And-Clicks Communities Program,Singh-Wade,Completed,2020-07-17,2020-10-29,2020-07-21 19:54:00
512,PRJ-000512,Expedite 24/7 Supply-Chains Program,Coleman-Bryant,Cancelled,2023-10-14,2024-02-07,2023-12-25 06:00:00
1747,PRJ-001747,Brand Clicks-And-Mortar Platforms Program,"Schneider, May and Rice",Completed,2024-05-25,2025-11-01,2024-07-22 17:25:00
3476,PRJ-003476,Redefine Global Markets Program,"Jimenez, Chapman and Lee",Active,2021-11-14,2023-10-12,2021-12-27 12:10:00
316,PRJ-000316,Embrace Value-Added Portals Program,"Wilson, Rose and Saunders",On Hold,2024-08-18,2026-09-04,2024-11-02 18:05:00
2810,PRJ-002810,Incentivize Cutting-Edge Niches Program,"Fowler, Holmes and Nelson",Planned,2019-01-06,2020-09-23,2019-04-20 19:50:00
1778,PRJ-001778,Cultivate User-Centric E-Business Program,Black PLC,Cancelled,2026-05-21,2027-09-20,2026-07-08 07:50:00
813,PRJ-000813,Deploy B2C Models Program,Kent-Lozano,Cancelled,2020-07-03,2022-08-03,2020-08-10 22:45:00
2437,PRJ-002437,Brand Best-Of-Breed Channels Program,"Campbell, Vang and Ford",Cancelled,2019-07-11,2021-02-13,2019-10-18 02:23:00
2825,PRJ-002825,Syndicate Bleeding-Edge Content Program,"Frye, Barnett and Jones",Active,2025-11-18,2027-10-21,2026-01-01 12:14:00
