position_history_id,employee_id,effective_start_date,effective_end_date,job_title,cost_centre,fte,updated_at
1,1,2022-03-04,2023-12-17,Lead Engineer,CC-100-FIN,0.57,2023-12-22 03:04:00
2,2,2017-07-03,2018-07-15,Project Coordinator,CC-160-MKT,0.62,2018-08-14 22:41:00
3,2,2018-07-16,,Engineer,CC-100-FIN,0.51,2018-07-16 07:20:00
4,3,2022-08-03,2024-05-19,Senior Analyst,CC-160-MKT,0.55,2024-06-07 02:41:00
5,3,2024-06-10,2025-05-03,Senior Engineer,CC-160-MKT,0.61,2025-05-06 17:35:00
6,4,2015-12-23,,Project Coordinator,CC-100-FIN,0.55,2016-01-01 21:27:00
7,5,2015-05-03,2015-09-29,Analyst,CC-130-PMO,0.42,2015-10-18 00:03:00
8,5,2015-09-30,2017-08-01,Lead Engineer,CC-120-ENG,0.23,2017-08-10 00:22:00
9,5,2017-08-02,2018-03-10,Engineer,CC-100-FIN,0.48,2018-03-19 08:48:00
10,6,2021-10-01,2022-09-07,Engineer,CC-120-ENG,0.66,2022-09-24 03:26:00
11,6,2022-09-08,2023-02-10,Engineer,CC-140-OPS,0.97,2023-03-11 03:31:00
12,7,2022-04-15,2023-11-11,Manager,CC-110-HR,0.74,2023-11-24 13:30:00
13,7,2023-12-29,2025-01-16,Senior Analyst,CC-120-ENG,0.46,2025-01-31 20:26:00
14,7,2025-01-17,2026-02-28,Project Coordinator,CC-130-PMO,0.79,2026-03-16 22:28:00
15,8,2017-06-21,2018-11-18,Analyst,CC-100-FIN,0.71,2018-12-12 12:54:00
16,8,2018-11-19,2019-04-02,Engineer,CC-160-MKT,0.7,2019-04-07 09:12:00
17,8,2019-04-03,,Senior Engineer,CC-140-OPS,0.21,2019-04-22 16:28:00
18,8,2019-04-03,,Senior Manager,CC-140-OPS,0.64,2019-04-22 21:28:00
19,9,2024-01-29,2024-06-06,Manager,CC-100-FIN,0.45,2024-06-24 16:55:00
20,9,2024-06-07,2025-02-15,Engineer,CC-120-ENG,0.32,2025-03-15 03:28:00
21,9,2025-02-16,,Director,CC-110-HR,0.66,2025-03-13 02:17:00
22,10,2024-01-14,2024-06-29,Senior Engineer,CC-120-ENG,0.64,2024-07-28 05:05:00
23,10,2024-05-17,2025-01-30,Senior Analyst,CC-120-ENG,0.69,2025-02-15 20:23:00
24,10,2025-01-31,2025-08-21,Senior Analyst,CC-160-MKT,0.29,2025-09-11 15:37:00
25,10,2025-08-22,2026-02-28,Analyst,CC-130-PMO,0.32,2026-03-09 11:17:00
26,11,2018-10-25,2020-09-23,Project Manager,CC-100-FIN,0.32,2020-10-22 11:20:00
27,11,2020-11-07,2021-09-10,Senior Analyst,CC-150-SALES,0.64,2021-10-08 20:21:00
28,11,2021-09-11,,Manager,CC-110-HR,0.36,2021-10-10 09:33:00
29,12,2025-09-25,2026-02-28,Senior Manager,CC-120-ENG,0.38,2026-03-12 10:14:00
30,12,2025-09-25,2026-02-28,Director,CC-120-ENG,0.45,2026-03-12 12:14:00
31,13,2016-01-15,2017-04-14,Analyst,CC-120-ENG,0.99,2017-04-17 12:02:00
32,13,2017-04-15,2018-03-17,Project Manager,CC-160-MKT,0.23,2018-03-26 00:24:00
33,13,2018-03-18,2020-02-21,Lead Engineer,CC-130-PMO,0.87,2020-03-02 01:02:00
34,13,2020-02-22,,Project Manager,CC-130-PMO,0.85,2020-03-23 01:59:00
35,14,2024-07-03,,Analyst,CC-130-PMO,0.28,2024-07-28 08:51:00
36,15,2024-01-19,2025-08-01,Project Coordinator,CC-150-SALES,0.72,2025-08-20 13:53:00
37,16,2016-05-26,2017-10-11,Director,CC-110-HR,0.85,2017-11-10 02:27:00
38,16,2017-12-09,2019-06-10,Senior Analyst,CC-160-MKT,0.87,2019-06-25 18:56:00
39,16,2019-06-11,2019-11-26,Director,CC-110-HR,0.54,2019-12-02 03:24:00
40,16,2019-11-27,2020-09-09,Senior Analyst,CC-120-ENG,0.95,2020-10-02 19:32:00
41,17,2015-11-19,2017-06-26,Project Coordinator,CC-120-ENG,0.52,2017-07-03 20:01:00
42,17,2017-06-27,,Analyst,CC-100-FIN,0.56,2017-07-02 14:34:00
43,18,2022-01-18,2022-07-03,Director,CC-140-OPS,0.8,2022-07-16 00:56:00
44,18,2022-09-11,2023-10-12,Director,CC-160-MKT,0.92,2023-10-16 10:14:00
45,18,2022-09-11,2023-10-12,Engineer,CC-160-MKT,0.71,2023-10-16 16:14:00
46,18,2023-10-13,,Senior Analyst,CC-120-ENG,1.0,2023-10-29 19:24:00
47,19,2019-01-21,2020-09-05,Project Manager,CC-160-MKT,0.21,2020-10-05 14:32:00
48,19,2020-09-06,2022-08-06,Project Coordinator,CC-130-PMO,0.2,2022-08-11 21:01:00
49,19,2022-08-07,,Project Coordinator,CC-100-FIN,0.5,2022-08-10 21:10:00
50,20,2015-10-12,2017-05-20,Project Manager,CC-130-PMO,0.62,2017-06-05 04:09:00
51,20,2017-06-14,2018-04-10,Senior Analyst,CC-100-FIN,0.34,2018-04-17 17:16:00
52,21,2018-03-31,2019-04-25,Project Coordinator,CC-100-FIN,0.56,2019-05-16 15:19:00
53,21,2019-04-26,2019-09-26,Senior Analyst,CC-100-FIN,0.85,2019-10-07 02:52:00
54,21,2019-09-27,2020-04-20,Senior Manager,CC-120-ENG,0.67,2020-05-20 22:37:00
55,21,2020-04-21,2021-05-31,Senior Manager,CC-100-FIN,0.3,2021-06-23 13:50:00
56,21,2021-06-01,,Senior Manager,CC-140-OPS,0.41,2021-06-20 19:29:00
57,22,2017-08-11,2018-09-21,Analyst,CC-110-HR,0.85,2018-09-23 15:44:00
58,22,2018-09-22,,Project Manager,CC-130-PMO,0.23,2018-10-18 12:46:00
59,23,2018-02-12,2019-09-16,Project Manager,CC-100-FIN,0.25,2019-09-24 13:07:00
60,23,2019-09-17,,Senior Engineer,CC-160-MKT,0.3,2019-10-16 06:25:00
61,24,2019-02-03,2021-01-02,Engineer,CC-130-PMO,0.37,2021-01-25 18:51:00
62,24,2021-01-03,,Analyst,CC-140-OPS,0.21,2021-01-29 03:24:00
63,24,2021-01-03,,Manager,CC-140-OPS,0.79,2021-01-29 07:24:00
64,25,2017-05-08,2018-09-26,Senior Engineer,CC-160-MKT,0.49,2018-09-27 01:19:00
65,25,2018-10-26,,Analyst,CC-120-ENG,0.58,2018-11-02 14:02:00
